File,Pitch,Formant,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
processed_common_voice_en_41881685.wav,1374.5858,390.71763833992094,-406.34467,90.185814,16.557617,12.473229,2.0459654,0.45926133,3.0973763,7.1702967,4.6303215,-2.9592638,-1.5664004,4.77559,-0.7788052
processed_common_voice_en_41586424.wav,3096.4114,1465.4017857142858,-342.1604,37.502357,-11.655159,-1.3015268,-11.084999,-6.926452,-9.309695,-6.472568,-7.3540936,-5.994793,-10.226443,-3.3084595,-8.464316
processed_common_voice_en_41503591.wav,1614.929,715.087890625,-441.99982,71.81469,11.137542,26.074625,0.19608003,6.1690016,-8.85206,0.70977527,-5.048588,6.439968,-0.3761127,-2.4683652,-10.882444
processed_common_voice_en_41823983.wav,1863.9347,513.8830236486486,-427.3057,74.64088,18.384508,14.475681,0.90891165,-0.7627887,-11.238294,-12.086578,-19.249048,-12.611012,-16.370127,-5.188002,-9.708182
processed_common_voice_en_41680077.wav,2975.7974,1232.6636904761904,-343.2927,45.446846,-12.845066,23.412233,-14.38469,5.701947,-16.61286,3.072633,-6.207442,1.9459176,-5.8958225,-1.373681,-5.6999626
processed_common_voice_en_41526838.wav,1551.0887,276.79614485981307,-413.5793,63.269726,0.24266458,20.270782,-7.9596157,1.8659697,-14.406348,-3.9702036,9.416058,0.23823978,1.6440631,-4.886073,-0.2795751
processed_common_voice_en_41816931.wav,2828.3867,838.0994496855346,-435.9375,55.49831,5.486751,2.4604123,-9.096895,4.809344,2.3930914,-2.2166464,3.8980813,-5.8979826,-2.918374,6.819667,-7.211621
processed_common_voice_en_41693119.wav,1860.6672,433.0297459893048,-353.43567,85.24221,-7.4530115,25.63742,2.1849606,-8.343725,-14.421969,0.8263587,1.391551,-7.2530003,-3.3239639,0.5799363,-8.967234
processed_common_voice_en_41633128.wav,2417.2021,773.2168079096045,-371.75958,79.97721,-16.088547,6.422386,-13.16996,-0.39742008,-17.047344,-14.839835,-4.305103,-16.674816,-18.854961,-3.2651064,-3.502633
processed_common_voice_en_41678018.wav,1494.8744,536.5050448430493,-411.0675,87.758,10.021637,34.885586,-1.726249,-5.915816,-9.764931,-4.450424,-1.9705634,0.8648372,-6.0680485,-8.059309,-4.708385
