File,Pitch,Formant,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
processed_data_british_common_voice_en_41517337.wav,1859.8333,714.7090517241379,-417.98337,67.67669,32.080463,24.929539,-7.0654902,0.82335055,-8.059592,-0.2692747,-12.121435,-8.350076,-1.8869511,-10.141534,-9.261631
processed_data_british_common_voice_en_41517336.wav,1859.8333,714.7090517241379,-417.98337,67.67669,32.080463,24.929539,-7.0654902,0.82335055,-8.059592,-0.2692747,-12.121435,-8.350076,-1.8869511,-10.141534,-9.261631
processed_data_british_common_voice_en_41474836.wav,2384.8035,686.5931919642857,-437.48755,72.519844,1.0140876,6.4303675,6.967363,13.7686615,-1.3287822,-13.965339,-10.270595,-4.932216,2.3609123,-6.5275884,-5.8640943
processed_data_british_common_voice_en_41795709.wav,1593.6415,1135.44921875,-385.81976,52.98117,32.66582,20.21246,10.050049,1.6949232,-5.42173,-1.0167115,-4.327935,3.2130558,5.861671,-7.47227,6.0671034
processed_data_british_common_voice_en_41469700.wav,2293.7803,537.2618494423792,-356.5927,85.24734,-9.320857,31.783915,2.261694,17.2499,-7.00558,3.0584314,-20.470205,0.82209665,-7.506145,-2.642307,-1.7785014
processed_data_british_common_voice_en_41474829.wav,2055.5361,566.0470545977012,-377.75494,94.83008,8.507347,4.855555,-1.1674194,13.095027,-0.3984844,-9.6223,-13.864362,-7.995813,1.3468621,-8.467442,-7.7339764
processed_data_british_common_voice_en_41654965.wav,2183.835,519.7557471264367,-467.5484,92.3301,14.897304,32.449345,-9.708371,-18.19675,-11.74199,-10.9037485,-6.666109,-12.375244,-9.652223,-9.986353,-7.403925
processed_data_british_common_voice_en_41474838.wav,2128.0369,660.625,-443.5148,91.51689,19.644224,5.0045366,-1.7458403,12.962957,-0.31271958,-9.877819,-15.9314,-4.8421197,3.7680933,-7.2482457,-7.1886706
processed_data_british_common_voice_en_41587501.wav,2347.0615,1385.1959745762713,-449.21445,90.28405,7.3488846,5.112171,-2.9815361,-32.074875,11.52544,-14.312476,-17.395073,-10.002084,-17.37024,-0.6877639,-15.64404
processed_data_british_common_voice_en_41659267.wav,2364.5918,880.5573453608248,-441.91138,82.539215,-35.027092,44.71369,-20.89182,-18.12967,11.424537,-23.348953,3.8091352,-10.20401,-19.38786,8.352739,-12.411073
